Id,meanfreq,sd,median,Q25,Q75,IQR,skew,kurt,sp.ent,sfm,mode,centroid,meanfun,minfun,maxfun,meandom,mindom,maxdom,dfrange,modindx,label
765,0.1623367726,0.05820638341,0.1740646976,0.1002250352,0.196511955,0.09628691983,2.127225783,7.81512926,0.9215328652,0.4268680492,0.1951336146,0.1623367726,0.09585240491,0.0167539267,0.2352941176,0.4060329861,0.046875,3.484375,3.4375,0.1553475936,male
3071,0.1616527543,0.05743473516,0.1701376721,0.1575219024,0.1829286608,0.02540675845,6.968850188,60.96804657,0.8704090862,0.4598810375,0.1710137672,0.1616527543,0.1634857534,0.01560062402,0.2040816327,0.5951605903,0.1708984375,3.979492188,3.80859375,0.2090729783,female
1546,0.1652904196,0.06189106357,0.1350710315,0.1184681902,0.2251760346,0.1067078443,2.631864838,12.62911621,0.9188971552,0.413620026,0.1291908586,0.1652904196,0.1200501993,0.0350877193,0.2222222222,0.458577474,0.087890625,1.015625,0.927734375,0.459833795,male
410,0.1881003336,0.05573537137,0.206027907,0.1304930233,0.2294697674,0.09897674419,1.538405602,5.145752913,0.9143253681,0.3986736074,0.2226976744,0.1881003336,0.1084698637,0.02130492676,0.1454545455,0.4932291667,0.125,4.734375,4.609375,0.1052016365,male
2689,0.187497494,0.04422552678,0.1900705882,0.1568,0.2154352941,0.05863529412,1.65308292,5.839465449,0.9074769979,0.3379213745,0.196,0.187497494,0.1545285116,0.04833836858,0.2790697674,1.113502358,0.0234375,8.765625,8.7421875,0.1030952961,female
25,0.164699838,0.07536177236,0.1470184697,0.1186983289,0.240474934,0.1217766051,4.208608405,43.68188543,0.9406687902,0.6040204851,0.0599648197,0.164699838,0.08296261135,0.0156402737,0.253968254,0.1433531746,0.0078125,1.0625,1.0546875,0.1259259259,male
2641,0.2049609349,0.03640947662,0.2041166381,0.1911492281,0.225728988,0.03457975986,2.813953901,12.80607976,0.862543357,0.2595557829,0.2026758148,0.2049609349,0.1540349021,0.048,0.2774566474,1.505701014,0.0234375,9.0703125,9.046875,0.154630829,female
1913,0.07884718717,0.06847255642,0.05416316232,0.02284272498,0.1276366695,0.1047939445,2.422416756,9.575712722,0.9301852972,0.5811133846,0.02449116905,0.07884718717,0.1383734627,0.01629327902,0.2711864407,0.4366629464,0.0078125,5.328125,5.3203125,0.1065740427,female
1971,0.2289027479,0.04159570252,0.2369049622,0.2086459209,0.2592767031,0.05063078217,2.073639065,7.742316173,0.8664092005,0.1631996349,0.2585702271,0.2289027479,0.1775746998,0.0199252802,0.275862069,0.4296875,0.0078125,2.71875,2.7109375,0.1489913545,female
439,0.183124768,0.05982008403,0.202359882,0.132979351,0.2275516224,0.09457227139,2.120305466,8.974591921,0.9258900978,0.5285196182,0.225899705,0.183124768,0.1141682607,0.03493449782,0.183908046,0.6272977941,0.15625,5.1015625,4.9453125,0.1586097946,male
3096,0.1591837189,0.0572329865,0.1702843016,0.1526328801,0.1811866502,0.02855377009,7.021590519,63.54125635,0.8782128155,0.4821724909,0.1708034611,0.1591837189,0.1504852168,0.01070663812,0.2127659574,0.1764787946,0.0341796875,0.4248046875,0.390625,0.09259259259,female
1211,0.1935004837,0.05975562692,0.2058465991,0.134934877,0.2487988423,0.1138639653,1.908695814,6.731286843,0.884480807,0.2946345989,0.119536903,0.1935004837,0.1351665772,0.04715127701,0.2790697674,1.29672476,0.0234375,4.9921875,4.96875,0.1459376203,male
1320,0.197826351,0.06165269082,0.2210273973,0.1361643836,0.2411643836,0.105,1.719663271,5.778525481,0.905622039,0.4411220775,0.2320547945,0.197826351,0.1249572759,0.04757185332,0.275862069,1.016015625,0.0234375,6.6328125,6.609375,0.1176470588,male
1779,0.1870737992,0.0353438362,0.1834301781,0.1708341143,0.2080974695,0.0372633552,2.320216684,8.445819088,0.858266134,0.2473602293,0.1815932521,0.1870737992,0.1762969785,0.04210526316,0.2253521127,0.6533564815,0.1640625,6.4609375,6.296875,0.1500763504,female
2069,0.1312959593,0.06561266606,0.1457283142,0.08905619203,0.1651282051,0.07607201309,5.481416471,62.61618393,0.9413151343,0.6394668775,0.1203709765,0.1312959593,0.1369862889,0.01862630966,0.275862069,0.3928571429,0.0078125,1.59375,1.5859375,0.1831979763,female
2019,0.1751811581,0.07590885842,0.21112567,0.1083978559,0.2331387731,0.1247409172,2.658595784,10.46772232,0.9407700367,0.6555938043,0.2181298392,0.1751811581,0.186196325,0.01893491124,0.275862069,0.1800595238,0.0078125,0.28125,0.2734375,0.2915750916,female
449,0.1770962088,0.06033462444,0.1833802817,0.1321126761,0.2208450704,0.08873239437,0.8914245144,3.172847806,0.9401056519,0.5850419557,0.2057276995,0.1770962088,0.1094946141,0.01582591494,0.1666666667,0.3671875,0.15625,0.6640625,0.5078125,0.7807692308,male
2154,0.1847795519,0.0287318454,0.1842857143,0.1742857143,0.1967346939,0.02244897959,3.04445156,12.7386152,0.817356763,0.1865392469,0.1853061224,0.1847795519,0.1654886637,0.01624365482,0.262295082,0.8298611111,0.0859375,6.5390625,6.453125,0.207090972,female
67,0.1673340353,0.04717772707,0.1618021548,0.1354750245,0.1807247796,0.04524975514,3.961908362,24.41962179,0.880375253,0.3443073116,0.1661900098,0.1673340353,0.1418104062,0.01603206413,0.253968254,0.578125,0.125,6.921875,6.796875,0.02164750958,male
538,0.1485049029,0.09316341308,0.172495637,0.08551483421,0.2255962769,0.1400814427,32.35073927,1122.219023,0.8533107847,0.482366962,0,0.1485049029,0.07817981337,0.01593625498,0.2580645161,0.0078125,0.0078125,0.0078125,0,0,male
555,0.1771540061,0.0665376794,0.1797638285,0.1209446861,0.2370167806,0.1160720945,1.373610739,4.794717814,0.9451223906,0.5768712018,0.1719328776,0.1771540061,0.08695608893,0.01659751037,0.2711864407,0.3293918919,0.03125,2.9375,2.90625,0.1016129032,male
1419,0.1878126241,0.05973665105,0.1895620438,0.1548175182,0.2386131387,0.08379562044,1.186346691,4.073459646,0.9265788025,0.4450162537,0.1890510949,0.1878126241,0.1155252767,0.04729064039,0.275862069,0.6676339286,0.0234375,3.3515625,3.328125,0.15,male
31,0.1666594988,0.07596116756,0.142781457,0.1220750552,0.2450772627,0.1230022075,3.281847964,16.61948169,0.9157848693,0.5604066953,0.1270198675,0.1666594988,0.1277198912,0.01727861771,0.275862069,0.2745028409,0.0078125,0.6328125,0.625,0.3325,male
527,0.1300415594,0.08485286028,0.1248265896,0.07242774566,0.2136416185,0.1412138728,25.27605953,747.381444,0.8624243857,0.4711931746,0,0.1300415594,0.07966679511,0.01830663616,0.2666666667,0.0078125,0.0078125,0.0078125,0,0,male
2744,0.1985996199,0.03409305126,0.2015263158,0.182,0.217,0.035,2.319008526,8.378493745,0.8562340902,0.2439392537,0.2007894737,0.1985996199,0.1699221877,0.04824120603,0.2774566474,1.015024038,0.0234375,8.203125,8.1796875,0.09927172875,female
2892,0.2100821634,0.04238648092,0.2126158445,0.1912705531,0.2368908819,0.04562032885,1.686742349,5.62569728,0.8844137355,0.3135622426,0.1929446936,0.2100821634,0.1284085725,0.04752475248,0.2774566474,1.99828125,0.2109375,8.5078125,8.296875,0.1480594449,female
2011,0.1348132461,0.08446107186,0.1504288939,0.05035364936,0.2125808879,0.1622272385,1.423100513,5.055870558,0.9644579068,0.749187734,0.02064710309,0.1348132461,0.1872476052,0.03053435115,0.2424242424,0.4412715517,0.015625,3.3203125,3.3046875,0.1561972307,female
2194,0.1913058267,0.04482958663,0.1882042834,0.166985173,0.2131136738,0.04612850082,1.979427487,6.752869997,0.8794416392,0.3263926891,0.1775947282,0.1913058267,0.1394552446,0.04729064039,0.2774566474,1.278645833,0.1640625,8.71875,8.5546875,0.09939471169,female
1703,0.1926767177,0.07049379126,0.2151696607,0.1768862275,0.2414371257,0.0645508982,2.16691714,11.9484918,0.9176671413,0.4935448287,0.05001996008,0.1926767177,0.1582431337,0.0174291939,0.2666666667,0.1886574074,0.0390625,0.53125,0.4921875,0.2527472527,female
2024,0.1849567089,0.05789557261,0.201618123,0.1723193096,0.2197411003,0.04742179072,2.298217357,8.190221644,0.9041381672,0.4544148818,0.2029773463,0.1849567089,0.1752635841,0.02857142857,0.2711864407,0.2751953125,0.0078125,3.328125,3.3203125,0.08248012719,female
2936,0.1597969746,0.06873178451,0.1648308051,0.1256242707,0.2059976663,0.08037339557,5.12392635,75.56901284,0.9513383102,0.6543696502,0,0.1597969746,0.1451431611,0.0156402737,0.2711864407,0.0719150641,0.0078125,0.3671875,0.359375,0.1751918159,female
343,0.1554347,0.06193354133,0.1480141343,0.1042826855,0.2081696113,0.1038869258,3.333764315,16.5224597,0.913725523,0.5250207094,0.1028975265,0.1554347,0.1082367459,0.01663893511,0.2222222222,1.054199219,0.1123046875,3.955078125,3.842773438,0.3517153748,male
1097,0.2030799808,0.06056068193,0.2201464129,0.139795022,0.2570424597,0.1172474378,1.97632118,7.813418626,0.9028392477,0.3342504225,0.2566325037,0.2030799808,0.1291400517,0.0469667319,0.2681564246,1.639190051,0.0234375,8.015625,7.9921875,0.09530791789,male
443,0.1886105345,0.07079888004,0.1992476489,0.1329780564,0.2589341693,0.1259561129,2.815702443,12.36788815,0.911562522,0.5331842299,0.2624451411,0.1886105345,0.1178126841,0.01791713326,0.1684210526,0.2954963235,0.1328125,0.671875,0.5390625,0.3242753623,male
166,0.1664693982,0.07757146429,0.1790029326,0.1083870968,0.2301173021,0.1217302053,3.341124012,34.4856255,0.9617842751,0.7299365986,0.05008797654,0.1664693982,0.1033759295,0.01716738197,0.275862069,1.168870192,0.0078125,6.53125,6.5234375,0.2727935433,male
124,0.1723464003,0.07282923884,0.1848612279,0.09702270816,0.2409083263,0.1438856182,15.81225162,348.9896304,0.9130211181,0.486050502,0.06005046257,0.1723464003,0.07592927352,0.01632653061,0.231884058,0.07575757576,0.0703125,0.25,0.1796875,0.0625,male
2608,0.2312827412,0.02790270646,0.2357894737,0.2186947368,0.2469894737,0.02829473684,2.164548545,7.564841809,0.8122258634,0.1207886946,0.2452210526,0.2312827412,0.1889983652,0.04692082111,0.2774566474,0.9009650735,0.0234375,3.8203125,3.796875,0.09837962963,female
2170,0.1933169028,0.03618975276,0.1959786748,0.1821172887,0.212185834,0.03006854532,2.679543916,10.20435147,0.854583571,0.2814809047,0.1921401371,0.1933169028,0.1859049532,0.03180914513,0.2711864407,0.6734375,0.0078125,5.9453125,5.9375,0.169620743,female
596,0.1693104037,0.05543786737,0.186980656,0.1210428932,0.2117073171,0.09066442389,2.667088156,15.12712706,0.9023479199,0.3511304519,0,0.1693104037,0.1151807496,0.01609657948,0.275862069,0.2141335227,0.0078125,0.6328125,0.625,0.269375,male
3124,0.2069275441,0.07017022848,0.2336039768,0.2082021541,0.2484507042,0.04024855012,2.685947795,11.96318736,0.8978180842,0.4024876563,0.2454349627,0.2069275441,0.1627259477,0.0157480315,0.275862069,0.7601445896,0.015625,6.7734375,6.7578125,0.163408653,female
1689,0.1699351369,0.09492076645,0.1970815451,0.07050071531,0.2519599428,0.1814592275,1.232447611,3.650647874,0.9381463646,0.6062338662,0.06008583691,0.1699351369,0.168460368,0.01601601602,0.275862069,0.5998263889,0.0078125,2.8515625,2.84375,0.2977335165,female
1569,0.1598877742,0.05935217892,0.1372891943,0.1124547158,0.218963148,0.1065084322,2.725311824,14.04383675,0.9212589172,0.4460043287,0.1110555903,0.1598877742,0.1083852081,0.01908396947,0.2777777778,0.673828125,0.087890625,3.994140625,3.90625,0.2348295455,male
1376,0.197676486,0.05632159492,0.2185837651,0.1479792746,0.2475993092,0.09962003454,1.476048745,5.256377497,0.8994151685,0.3238764553,0.2592055268,0.197676486,0.1248532844,0.04715127701,0.2790697674,0.5308866279,0.0234375,3.6328125,3.609375,0.1051948052,male
